author,antibiotic_category,year,num_resistant,num_total,troy_pooled_prev,logit_event_rate,std_err,variance,inverse_N,major_source,tri_source,natl_income,tri_income,country,antibioic_abb,antibiotic,sub_clinical,sub_WW2,sub_WW3,sub_seafood,sub_aquaculture,sub_DW,sub_SW,sub_agr,agr_farm,A_Wa2000,A_Wa2015,A_Wa_ratio,DID2000,EPI,HLT,AIR,H2O,HMT,WMG,BDH,ECS,FSH,CCH,APE,WRS,WWT
El-Sharef et al. 2005,Gentamicin,2005,30,30,0.9839,4.110873864,1.425758354,2.032786885,0.033333333,Agriculture,Agriculture,3,50-75,Libya,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Mixed,,,,,,,,,,,,,,,,,
El-Sharef et al. 2005,SXT,2005,24,30,0.8,1.386294361,0.456435465,0.208333333,0.033333333,Agriculture,Agriculture,3,50-75,Libya,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,,,,,,,,,,,,,
El-Sharef et al. 2005,tetracycline,2005,24,30,0.8,1.386294361,0.456435465,0.208333333,0.033333333,Agriculture,Agriculture,3,50-75,Libya,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,,,,,,,,,,,,,,,,,
Shuang et al. 2020,3rd gen,2020,4,21,0.1905,-1.446918983,0.55571893,0.308823529,0.047619048,Agriculture,Agriculture,3,50-75,China,3rd CEF,Ceftriaxone,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,carbapenem,2020,0,21,0.0227,-3.761200116,1.430563395,2.046511628,0.047619048,Agriculture,Agriculture,3,50-75,China,CARB,Imipenem,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,Chloramphenicol,2020,0,21,0.0227,-3.761200116,1.430563395,2.046511628,0.047619048,Agriculture,Agriculture,3,50-75,China,CHL,Chloramphenicol,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,Ciprofloxacin,2020,0,21,0.0227,-3.761200116,1.430563395,2.046511628,0.047619048,Agriculture,Agriculture,3,50-75,China,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,Gentamicin,2020,0,21,0.0227,-3.761200116,1.430563395,2.046511628,0.047619048,Agriculture,Agriculture,3,50-75,China,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,SXT,2020,5,21,0.2381,-1.16315081,0.512347538,0.2625,0.047619048,Agriculture,Agriculture,3,50-75,China,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Shuang et al. 2020,tetracycline,2020,0,21,0.0227,-3.761200116,1.430563395,2.046511628,0.047619048,Agriculture,Agriculture,3,50-75,China,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Li et al. 2016,SXT,2016,10,20,0.5,0,0.447213595,0.2,0.05,Agriculture,Agriculture,3,50-75,China,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Li et al. 2016,tetracycline,2016,11,20,0.55,0.200670695,0.449466575,0.202020202,0.05,Agriculture,Agriculture,3,50-75,China,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.3,0.5,2.6,1.6,37.3,41.8,27.1,59.4,37.6,51.8,19,34.3,18,46.3,58.6,9.4,9.4
Singh et al. 2011,3rd gen,2011,0,20,0.0238,-3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,3rd CEF,Ceftriaxone,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Singh et al. 2011,Chloramphenicol,2011,0,20,0.0238,-3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,CHL,Chloramphenicol,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Singh et al. 2011,Ciprofloxacin,2011,0,20,0.0238,-3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Singh et al. 2011,Gentamicin,2011,20,20,0.9762,3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Singh et al. 2011,SXT,2011,0,20,0.0238,-3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Singh et al. 2011,tetracycline,2011,0,20,0.0238,-3.713572067,1.431356171,2.048780488,0.05,Agriculture,Agriculture,2,0-50,India,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.4,3.75,2.8,27.6,16.3,13.4,19.4,21,16.1,33.7,33.8,16.9,45,37.1,2.2,2.2
Alam et al. 2010,Chloramphenicol,2010,25,100,0.25,-1.098612289,0.230940108,5.33E-02,0.01,Agriculture,Agriculture,2,0-50,Bangladesh,CHL,Chloramphenicol,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.1,0.5,2.2,4.5,29,22.4,20.2,27.3,23.2,5,46.8,22.8,19.6,35.6,15.3,0,0
Alam et al. 2010,Erythromycin,2010,84,100,0.84,1.658228077,0.272772363,7.44E-02,0.01,Agriculture,Agriculture,2,0-50,Bangladesh,ERY,Erythromycin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.1,0.5,2.2,4.5,29,22.4,20.2,27.3,23.2,5,46.8,22.8,19.6,35.6,15.3,0,0
Alam et al. 2010,Gentamicin,2010,0,100,0.005,-5.303304908,1.417727142,2.009950249,0.01,Agriculture,Agriculture,2,0-50,Bangladesh,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.1,0.5,2.2,4.5,29,22.4,20.2,27.3,23.2,5,46.8,22.8,19.6,35.6,15.3,0,0
Alam et al. 2010,tetracycline,2010,65,100,0.65,0.619039208,0.209656967,0.043956044,0.01,Agriculture,Agriculture,2,0-50,Bangladesh,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.1,0.5,2.2,4.5,29,22.4,20.2,27.3,23.2,5,46.8,22.8,19.6,35.6,15.3,0,0
Hammad et al. 2018,3rd gen,2018,8,34,0.2353,-1.178654996,0.40430377,0.163461538,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,3rd CEF,Cefotaxime,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Hammad et al. 2018,carbapenem,2018,0,34,0.0143,-4.234106505,1.424424623,2.028985507,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,CARB,Imipenem,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Hammad et al. 2018,Ciprofloxacin,2018,0,34,0.0143,-4.234106505,1.424424623,2.028985507,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Hammad et al. 2018,Gentamicin,2018,0,34,0.0143,-4.234106505,1.424424623,2.028985507,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Hammad et al. 2018,SXT,2018,3,34,0.0882,-2.335374916,0.604641545,0.365591398,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Hammad et al. 2018,tetracycline,2018,8,34,0.2353,-1.178654996,0.40430377,0.163461538,0.029411765,Agriculture,Agriculture,2,0-50,Egypt,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,5.7,1.9,3,7.5,43.3,33.8,35.3,36.6,13.5,16.3,50.6,62.5,12.1,55,56.3,42,42
Igbinosa et al. 2014,3rd gen,2014,1,19,0.0526,-2.890371758,1.027402334,1.055555556,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,3rd CEF,Cefotaxime,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,Chloramphenicol,2014,4,19,0.2105,-1.32175584,0.562731434,0.316666667,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,CHL,Chloramphenicol,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,Ciprofloxacin,2014,0,19,0.025,-3.663561646,1.432229748,2.051282051,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,Erythromycin,2014,10,19,0.5263,0.105360516,0.459468292,0.211111111,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,ERY,Erythromycin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,Gentamicin,2014,0,19,0.025,-3.663561646,1.432229748,2.051282051,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,SXT,2014,7,19,0.3684,-0.538996501,0.475594866,0.226190476,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Igbinosa et al. 2014,tetracycline,2014,0,19,0.025,-3.663561646,1.432229748,2.051282051,0.052631579,Agriculture,Agriculture,3,50-75,South Africa,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,3,4.6,0.65,8.8,43.1,31.1,28.9,24.6,58.8,77,63.2,20.6,7.8,62.8,69.7,21.7,21.7
Seker et al. 2015,3rd gen,2015,1,22,0.0455,-3.044522438,1.023532631,1.047619048,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,3rd CEF,Cefotaxime,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Seker et al. 2015,carbapenem,2015,1,22,0.0455,-3.044522438,1.023532631,1.047619048,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,CARB,Imipenem,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Seker et al. 2015,Ciprofloxacin,2015,1,22,0.0455,-3.044522438,1.023532631,1.047619048,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Seker et al. 2015,Gentamicin,2015,1,22,0.0455,-3.044522438,1.023532631,1.047619048,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Seker et al. 2015,SXT,2015,9,22,0.4091,-0.36772478,0.43362909,0.188034188,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Seker et al. 2015,tetracycline,2015,10,22,0.4545,-0.182321557,0.428174419,0.183333333,0.045454545,Agriculture,Agriculture,3,50-75,Turkey,TET,Tetracycline,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Yucel et al. 2003,3rd gen,2003,19,140,0.1357,-1.851351566,0.246771234,6.09E-02,0.007142857,Agriculture,Agriculture,3,50-75,Turkey,3rd CEF,Ceftriaxone,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Yucel et al. 2003,Ciprofloxacin,2003,0,140,0.0035,-5.638354669,1.416727722,2.007117438,0.007142857,Agriculture,Agriculture,3,50-75,Turkey,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Yucel et al. 2003,Erythromycin,2003,140,140,0.9965,5.638354669,1.416727722,2.007117438,0.007142857,Agriculture,Agriculture,3,50-75,Turkey,ERY,Erythromycin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Yucel et al. 2003,SXT,2003,26,140,0.1857,-1.47810191,0.217332621,4.72E-02,0.007142857,Agriculture,Agriculture,3,50-75,Turkey,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Ilhan et al. 2006,Ciprofloxacin,2006,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Turkey,CIP,Ciprofloxacin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Ilhan et al. 2006,Erythromycin,2006,18,18,0.9737,3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Turkey,ERY,Erythromycin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Ilhan et al. 2006,Gentamicin,2006,18,18,0.9737,3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Turkey,GEN,Gentamicin,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Farmed,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Ilhan et al. 2006,SXT,2006,0,18,0.0263,-3.610917913,1.433197144,2.054054054,0.055555556,Agriculture,Agriculture,3,50-75,Turkey,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Blank,Blank,Blank,Blank,Animal,Blank,1.5,0.9,1.67,9.3,42.6,51.3,49.5,52.6,61.5,48.5,15.1,37.1,10.8,49.3,84,30.4,30.4
Senderovich et al. 2012,3rd gen,,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,4,75-100,Israel,3rd CEF,Cefotaxime,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,carbapenem,,3,11,0.2727,-0.980829253,0.6770032,0.458333333,0.090909091,Clinical,Clinical,4,75-100,Israel,CARB,Imipenem (also meropenem),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,Chloramphenicol,2012,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,4,75-100,Israel,CHL,Chloramphenicol,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,Ciprofloxacin,2012,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,4,75-100,Israel,CIP,Ciprofloxacin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,Gentamicin,,1,11,0.0909,-2.302585093,1.048808848,1.1,0.090909091,Clinical,Clinical,4,75-100,Israel,GEN,Gentamicin,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,SXT,,1,11,0.0909,-2.302585093,1.048808848,1.1,0.090909091,Clinical,Clinical,4,75-100,Israel,SXT,Sulfamethoxazole-Trimethoprim (SXT),Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al. 2012,tetracycline,,5,11,0.4545,-0.182321557,0.605530071,0.366666667,0.090909091,Clinical,Clinical,4,75-100,Israel,TET,Tetracycline,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Senderovich et al.,3rd gen,2012,0,11,0.0417,-3.135494216,1.444630237,2.086956522,0.090909091,Clinical,Clinical,4,75-100,Israel,3rd CEF,Ceftriaxone,Feces,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,65.8,83.6,76.5,92.8,92.1,72.2,47.6,40.6,45.5,56.9,97.8,81.7,81.7
Liu et al. 2012,carbapenem,,81,260,0.3115,-0.792936651,0.13391143,1.79E-02,0.003846154,Clinical,Clinical,4,75-100,"China, Korea, New Zealand, and Taiwan",CARB,Imipenem,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,,,,,,,,,,,,,
Liu et al. 2012,Ciprofloxacin,2012,33,260,0.1269,-1.928442456,0.186301682,3.47E-02,0.003846154,Clinical,Clinical,4,75-100,"China, Hong Kong, Korea, New Zealand, and Taiwan",CIP,Ciprofloxacin,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,,,,,,,,,,,,,
Jones et al. 2004,carbapenem,,0,5,0.0833,-2.397895273,1.477097892,2.181818182,0.2,Clinical,Clinical,4,75-100,Europe and Americas,CARB,Imipenem,Mixed,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,,,,,,,,,,,,,,,,,
Newaj-Fyzul et al.,Chloramphenicol,2006,3,17,0.1765,-1.540445041,0.63620901,0.404761905,0.058823529,Seafood,Agriculture,4,75-100,Trinidad and Tobago,CHL,Chloramphenicol,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,,,,,47.5,54.6,57.2,53.4,82,10.4,67.8,35.9,11.8,42.1,77.9,3.2,3.2
Newaj-Fyzul et al.,Erythromycin,2006,5,17,0.2941,-0.875468737,0.532290647,0.283333333,0.058823529,Seafood,Agriculture,4,75-100,Trinidad and Tobago,ERY,Erythromycin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,,,,,47.5,54.6,57.2,53.4,82,10.4,67.8,35.9,11.8,42.1,77.9,3.2,3.2
Newaj-Fyzul et al.,Gentamicin,2006,2,17,0.1176,-2.014903021,0.752772653,0.566666667,0.058823529,Seafood,Agriculture,4,75-100,Trinidad and Tobago,GEN,Gentamicin,Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,,,,,47.5,54.6,57.2,53.4,82,10.4,67.8,35.9,11.8,42.1,77.9,3.2,3.2
Newaj-Fyzul et al.,SXT,2006,0,17,0.0278,-3.555348061,1.434274331,2.057142857,0.058823529,Seafood,Agriculture,4,75-100,Trinidad and Tobago,SXT,Sulfamethoxazole-Trimethoprim (SXT),Blank,Blank,Blank,Fish,Farmed,Blank,Blank,Blank,Blank,,,,,47.5,54.6,57.2,53.4,82,10.4,67.8,35.9,11.8,42.1,77.9,3.2,3.2
