File,BioProject,BioSample,Country,Location,SampleSource,SampleType,SeafoodType
ERR2129794,PRJEB22688,SAMEA104307786,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129795,PRJEB22688,SAMEA104307787,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129797,PRJEB22688,SAMEA104307788,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129798,PRJEB22688,SAMEA104307789,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129800,PRJEB22688,SAMEA104307790,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129801,PRJEB22688,SAMEA104307791,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129803,PRJEB22688,SAMEA104307792,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129804,PRJEB22688,SAMEA104307793,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129806,PRJEB22688,SAMEA104307794,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129807,PRJEB22688,SAMEA104307795,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129809,PRJEB22688,SAMEA104307796,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129810,PRJEB22688,SAMEA104307797,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129812,PRJEB22688,SAMEA104307798,United Kingdom,Frome,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129813,PRJEB22688,SAMEA104307799,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129815,PRJEB22688,SAMEA104307800,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129816,PRJEB22688,SAMEA104307801,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129818,PRJEB22688,SAMEA104307802,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129819,PRJEB22688,SAMEA104307803,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129821,PRJEB22688,SAMEA104307804,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129822,PRJEB22688,SAMEA104307805,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129824,PRJEB22688,SAMEA104307806,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129825,PRJEB22688,SAMEA104307807,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129827,PRJEB22688,SAMEA104307808,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129828,PRJEB22688,SAMEA104307809,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129830,PRJEB22688,SAMEA104307810,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Gut,Hatchery
ERR2129831,PRJEB22688,SAMEA104307811,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129833,PRJEB22688,SAMEA104307812,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129834,PRJEB22688,SAMEA104307813,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129836,PRJEB22688,SAMEA104307814,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129837,PRJEB22688,SAMEA104307815,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129839,PRJEB22688,SAMEA104307816,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129840,PRJEB22688,SAMEA104307817,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129842,PRJEB22688,SAMEA104307818,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129843,PRJEB22688,SAMEA104307819,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129845,PRJEB22688,SAMEA104307820,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129846,PRJEB22688,SAMEA104307821,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129848,PRJEB22688,SAMEA104307822,United Kingdom,MHS,Atlantic Salmon (Salmo salar),Skin,Hatchery
ERR2129849,PRJEB22688,SAMEA104307823,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129851,PRJEB22688,SAMEA104307824,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129852,PRJEB22688,SAMEA104307825,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129854,PRJEB22688,SAMEA104307826,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129855,PRJEB22688,SAMEA104307827,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129857,PRJEB22688,SAMEA104307828,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129858,PRJEB22688,SAMEA104307829,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129860,PRJEB22688,SAMEA104307830,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129861,PRJEB22688,SAMEA104307831,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129863,PRJEB22688,SAMEA104307832,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129864,PRJEB22688,SAMEA104307833,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129866,PRJEB22688,SAMEA104307834,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129867,PRJEB22688,SAMEA104307835,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129869,PRJEB22688,SAMEA104307836,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129870,PRJEB22688,SAMEA104307837,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129872,PRJEB22688,SAMEA104307838,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129873,PRJEB22688,SAMEA104307839,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129875,PRJEB22688,SAMEA104307840,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129876,PRJEB22688,SAMEA104307841,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129878,PRJEB22688,SAMEA104307842,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129879,PRJEB22688,SAMEA104307843,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129880,PRJEB22688,SAMEA104307844,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129882,PRJEB22688,SAMEA104307845,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129883,PRJEB22688,SAMEA104307846,United Kingdom,Towy,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129885,PRJEB22688,SAMEA104307847,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129886,PRJEB22688,SAMEA104307848,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129888,PRJEB22688,SAMEA104307849,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129889,PRJEB22688,SAMEA104307850,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129891,PRJEB22688,SAMEA104307851,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129892,PRJEB22688,SAMEA104307852,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129894,PRJEB22688,SAMEA104307853,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129895,PRJEB22688,SAMEA104307854,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129897,PRJEB22688,SAMEA104307855,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129898,PRJEB22688,SAMEA104307856,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129900,PRJEB22688,SAMEA104307857,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129901,PRJEB22688,SAMEA104307858,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129903,PRJEB22688,SAMEA104307859,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129904,PRJEB22688,SAMEA104307860,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129906,PRJEB22688,SAMEA104307861,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129907,PRJEB22688,SAMEA104307862,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129909,PRJEB22688,SAMEA104307863,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129910,PRJEB22688,SAMEA104307864,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129912,PRJEB22688,SAMEA104307865,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129913,PRJEB22688,SAMEA104307866,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129915,PRJEB22688,SAMEA104307867,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129916,PRJEB22688,SAMEA104307868,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129918,PRJEB22688,SAMEA104307869,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129919,PRJEB22688,SAMEA104307870,United Kingdom,Spey,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129921,PRJEB22688,SAMEA104307871,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129922,PRJEB22688,SAMEA104307872,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129924,PRJEB22688,SAMEA104307873,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129925,PRJEB22688,SAMEA104307874,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129927,PRJEB22688,SAMEA104307875,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129928,PRJEB22688,SAMEA104307876,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129930,PRJEB22688,SAMEA104307877,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129934,PRJEB22688,SAMEA104307878,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129935,PRJEB22688,SAMEA104307879,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129937,PRJEB22688,SAMEA104307880,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129938,PRJEB22688,SAMEA104307881,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129940,PRJEB22688,SAMEA104307882,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Gut,Wild
ERR2129941,PRJEB22688,SAMEA104307883,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129943,PRJEB22688,SAMEA104307884,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129944,PRJEB22688,SAMEA104307885,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129946,PRJEB22688,SAMEA104307886,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129947,PRJEB22688,SAMEA104307887,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129949,PRJEB22688,SAMEA104307888,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129950,PRJEB22688,SAMEA104307889,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129952,PRJEB22688,SAMEA104307890,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129953,PRJEB22688,SAMEA104307891,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129955,PRJEB22688,SAMEA104307892,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129956,PRJEB22688,SAMEA104307893,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129958,PRJEB22688,SAMEA104307894,United Kingdom,Tweed,Atlantic Salmon (Salmo salar),Skin,Wild
ERR2129959,PRJEB22688,SAMEA104307895,United Kingdom,CNSS,Tank water,Water,Hatchery
ERR2129961,PRJEB22688,SAMEA104307896,France,Cynrig,Tank water,Water,Hatchery
ERR2129962,PRJEB22688,SAMEA104307897,United Kingdom,Frome,River water,Water,Wild
ERR2129964,PRJEB22688,SAMEA104307898,United Kingdom,MHS,Tank water,Water,Hatchery
ERR2129965,PRJEB22688,SAMEA104307899,United Kingdom,Towy,River water,Water,Wild
ERR2129967,PRJEB22688,SAMEA104307900,United Kingdom,Spey,River water,Water,Wild
ERR2129968,PRJEB22688,SAMEA104307901,United Kingdom,Tweed,River water,Water,Wild
ERR3458554,PRJEB33555,SAMEA5816608,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458555,PRJEB33555,SAMEA5816609,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458556,PRJEB33555,SAMEA5816610,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458557,PRJEB33555,SAMEA5816611,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458558,PRJEB33555,SAMEA5816612,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458559,PRJEB33555,SAMEA5816613,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458560,PRJEB33555,SAMEA5816614,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458561,PRJEB33555,SAMEA5816615,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458562,PRJEB33555,SAMEA5816616,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458563,PRJEB33555,SAMEA5816617,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458564,PRJEB33555,SAMEA5816618,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458565,PRJEB33555,SAMEA5816619,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458566,PRJEB33555,SAMEA5816620,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458567,PRJEB33555,SAMEA5816621,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458568,PRJEB33555,SAMEA5816622,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458569,PRJEB33555,SAMEA5816623,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458570,PRJEB33555,SAMEA5816624,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458571,PRJEB33555,SAMEA5816625,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458572,PRJEB33555,SAMEA5816626,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458573,PRJEB33555,SAMEA5816627,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458574,PRJEB33555,SAMEA5816628,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458575,PRJEB33555,SAMEA5816629,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458576,PRJEB33555,SAMEA5816630,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458577,PRJEB33555,SAMEA5816631,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458578,PRJEB33555,SAMEA5816632,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458579,PRJEB33555,SAMEA5816633,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458580,PRJEB33555,SAMEA5816634,France,Buech,Nase (Parachrondrostoma toxostoma),Gut,Wild
ERR3458581,PRJEB33555,SAMEA5816635,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
ERR3458582,PRJEB33555,SAMEA5816636,France,Buech,Nase (Parachrondrostoma toxostoma),Skin,Wild
