Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(altitude),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),host-associated_environmental_package,host_body_site,host_length,host_sex,host_subject_id,host_total_mass,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Temperature,Title
ERR3458564,14Bue1013Ch03A,AMPLICON,501,2700534,PRJEB33555,SAMEA5816618,1758866,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480315,France,Europe,593,France,44.346,5.773,Buech,host-associated,hindgut,13.5,neuter,14Bue1013,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816618,ERS3605214,MiSeq,ERS3605214,ERP116356,23.5,microbiota
ERR3458565,14Bue1013Ch05A,AMPLICON,501,6298996,PRJEB33555,SAMEA5816619,3424796,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480316,France,Europe,593,France,44.346,5.773,Buech,host-associated,gills,13.5,neuter,14Bue1013,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816619,ERS3605215,MiSeq,ERS3605215,ERP116356,23.5,microbiota
ERR3458566,14Bue1014Ch01A,AMPLICON,501,9823972,PRJEB33555,SAMEA5816620,5536333,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480317,France,Europe,593,France,44.347,5.774,Buech,host-associated,skin,"13,0",neuter,14Bue1014,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816620,ERS3605216,MiSeq,ERS3605216,ERP116356,23.5,microbiota
ERR3458567,14Bue1014Ch02A,AMPLICON,501,13169501,PRJEB33555,SAMEA5816621,6885536,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480318,France,Europe,593,France,44.347,5.774,Buech,host-associated,midgut,"13,0",neuter,14Bue1014,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816621,ERS3605217,MiSeq,ERS3605217,ERP116356,23.5,microbiota
ERR3458568,14Bue1014Ch03A,AMPLICON,501,6075762,PRJEB33555,SAMEA5816622,3337111,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480319,France,Europe,593,France,44.347,5.774,Buech,host-associated,hindgut,"13,0",neuter,14Bue1014,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816622,ERS3605218,MiSeq,ERS3605218,ERP116356,23.5,microbiota
ERR3458569,14Bue1014Ch05A,AMPLICON,501,5686891,PRJEB33555,SAMEA5816623,3161740,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480320,France,Europe,593,France,44.347,5.774,Buech,host-associated,gills,"13,0",neuter,14Bue1014,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816623,ERS3605219,MiSeq,ERS3605219,ERP116356,23.5,microbiota
ERR3458570,14Bue1015Ch01A,AMPLICON,501,12487380,PRJEB33555,SAMEA5816624,6981407,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480321,France,Europe,593,France,44.348,5.775,Buech,host-associated,skin,12.5,neuter,14Bue1015,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816624,ERS3605220,MiSeq,ERS3605220,ERP116356,23.5,microbiota
ERR3458571,14Bue1015Ch02A,AMPLICON,501,11722601,PRJEB33555,SAMEA5816625,6135818,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480322,France,Europe,593,France,44.348,5.775,Buech,host-associated,midgut,12.5,neuter,14Bue1015,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816625,ERS3605221,MiSeq,ERS3605221,ERP116356,23.5,microbiota
ERR3458572,14Bue1015Ch03A,AMPLICON,501,10666720,PRJEB33555,SAMEA5816626,5442612,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480323,France,Europe,593,France,44.348,5.775,Buech,host-associated,hindgut,12.5,neuter,14Bue1015,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816626,ERS3605222,MiSeq,ERS3605222,ERP116356,23.5,microbiota
ERR3458573,14Bue1015Ch05A,AMPLICON,501,7692198,PRJEB33555,SAMEA5816627,4029601,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480324,France,Europe,593,France,44.348,5.775,Buech,host-associated,gills,12.5,neuter,14Bue1015,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816627,ERS3605223,MiSeq,ERS3605223,ERP116356,23.5,microbiota
ERR3458574,14Bue1016Ch01A,AMPLICON,501,8916514,PRJEB33555,SAMEA5816628,5074273,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480325,France,Europe,593,France,44.349,5.776,Buech,host-associated,skin,18.5,neuter,14Bue1016,44,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816628,ERS3605224,MiSeq,ERS3605224,ERP116356,23.5,microbiota
ERR3458575,14Bue1016Ch02A,AMPLICON,501,7371170,PRJEB33555,SAMEA5816629,4087220,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480326,France,Europe,593,France,44.349,5.776,Buech,host-associated,midgut,18.5,neuter,14Bue1016,44,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816629,ERS3605225,MiSeq,ERS3605225,ERP116356,23.5,microbiota
ERR3458576,14Bue1016Ch03A,AMPLICON,500,2341054,PRJEB33555,SAMEA5816630,1705425,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480327,France,Europe,593,France,44.349,5.776,Buech,host-associated,hindgut,18.5,neuter,14Bue1016,44,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:43Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816630,ERS3605226,MiSeq,ERS3605226,ERP116356,23.5,microbiota
ERR3458577,14Bue1016Cn05A,AMPLICON,501,3716636,PRJEB33555,SAMEA5816631,2314525,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480328,France,Europe,593,France,44.349,5.776,Buech,host-associated,gills,18.5,neuter,14Bue1016,44,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816631,ERS3605227,MiSeq,ERS3605227,ERP116356,23.5,microbiota
ERR3458578,14Bue1017Ch01A,AMPLICON,501,12522508,PRJEB33555,SAMEA5816632,6685641,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480329,France,Europe,593,France,44.35,5.777,Buech,host-associated,skin,13.5,neuter,14Bue1017,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816632,ERS3605228,MiSeq,ERS3605228,ERP116356,23.5,microbiota
ERR3458579,14Bue1017Ch02A,AMPLICON,501,12468411,PRJEB33555,SAMEA5816633,6528286,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480330,France,Europe,593,France,44.35,5.777,Buech,host-associated,midgut,13.5,neuter,14Bue1017,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816633,ERS3605229,MiSeq,ERS3605229,ERP116356,23.5,microbiota
ERR3458580,14Bue1017Ch03A,AMPLICON,501,4211956,PRJEB33555,SAMEA5816634,2550050,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480331,France,Europe,593,France,44.35,5.777,Buech,host-associated,hindgut,13.5,neuter,14Bue1017,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816634,ERS3605230,MiSeq,ERS3605230,ERP116356,23.5,microbiota
ERR3458581,14Bue1017Ch05A,AMPLICON,501,8380144,PRJEB33555,SAMEA5816635,4645008,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480332,France,Europe,593,France,44.35,5.777,Buech,host-associated,gills,13.5,neuter,14Bue1017,16,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816635,ERS3605231,MiSeq,ERS3605231,ERP116356,23.5,microbiota
ERR3458582,14Bue1018Ch01A,AMPLICON,501,15530152,PRJEB33555,SAMEA5816636,8418784,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480333,France,Europe,593,France,44.351,5.778,Buech,host-associated,skin,15.5,neuter,14Bue1018,29,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816636,ERS3605232,MiSeq,ERS3605232,ERP116356,23.5,microbiota
ERR3458583,14Bue1018Ch02A,AMPLICON,501,8216686,PRJEB33555,SAMEA5816637,4466223,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480334,France,Europe,593,France,44.351,5.778,Buech,host-associated,midgut,15.5,neuter,14Bue1018,29,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816637,ERS3605233,MiSeq,ERS3605233,ERP116356,23.5,microbiota
ERR3458584,14Bue1018Ch03A,AMPLICON,501,3725989,PRJEB33555,SAMEA5816638,2444008,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,hindgut,ERX3480335,France,Europe,593,France,44.351,5.778,Buech,host-associated,hindgut,15.5,neuter,14Bue1018,29,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816638,ERS3605234,MiSeq,ERS3605234,ERP116356,23.5,microbiota
ERR3458585,14Bue1018Ch05A,AMPLICON,501,15020217,PRJEB33555,SAMEA5816639,7981425,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,gills,ERX3480336,France,Europe,593,France,44.351,5.778,Buech,host-associated,gills,15.5,neuter,14Bue1018,29,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816639,ERS3605235,MiSeq,ERS3605235,ERP116356,23.5,microbiota
ERR3458586,14Bue1019Ch01A,AMPLICON,501,6910883,PRJEB33555,SAMEA5816640,4166199,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,skin,ERX3480337,France,Europe,593,France,44.352,5.779,Buech,host-associated,skin,12.5,neuter,14Bue1019,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816640,ERS3605236,MiSeq,ERS3605236,ERP116356,23.5,microbiota
ERR3458587,14Bue1019Ch02A,AMPLICON,501,10854483,PRJEB33555,SAMEA5816641,5702247,AIX MARSEILLE UNIVERSITE,7/3/14,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000013,10/31/19,7/31/19,Parachondrostoma_toxostoma,Durance_river,midgut,ERX3480338,France,Europe,593,France,44.352,5.779,Buech,host-associated,midgut,12.5,neuter,14Bue1019,15,Aix Marseille Universite,Aix Marseille Universite,2019-10-31T04:04:06Z,2019-07-29T12:20:44Z,public,Illumina MiSeq,bacteria_archaea,Run1,PAIRED,PCR,OTHER,metagenome,ILLUMINA,Pt_microbiota,2019-11-01T00:00:00Z,SAMEA5816641,ERS3605237,MiSeq,ERS3605237,ERP116356,23.5,microbiota
