Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,experimental_factor,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_Name,Sequencing_method,SRA_accession,SRA Study,Title,host_body_product,host_body_site,host_common_name
ERR2129732,CON-S4,AMPLICON,475,21980103,PRJEB22688,SAMEA104307745,11275229,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186946,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-S4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307745,ERS1932723,Illumina,ERS1932723,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129737,CON-S7,AMPLICON,435,105388095,PRJEB22688,SAMEA104307748,54601021,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186949,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-S7,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307748,ERS1932726,Illumina,ERS1932726,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129738,CON-S8,AMPLICON,488,92347699,PRJEB22688,SAMEA104307749,47812158,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186950,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-S8,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307749,ERS1932727,Illumina,ERS1932727,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129740,CON-S9,AMPLICON,436,69432053,PRJEB22688,SAMEA104307750,35336468,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186951,CNSS population (hatchery),France,Europe,France,45.07,3.54,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CON-S9,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307750,ERS1932728,Illumina,ERS1932728,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129741,CYN-G10,AMPLICON,567,58691881,PRJEB22688,SAMEA104307751,38347996,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186952,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CYN-G10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307751,ERS1932729,Illumina,ERS1932729,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129743,CYN-G11,AMPLICON,494,122605846,PRJEB22688,SAMEA104307752,73798484,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186953,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CYN-G11,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307752,ERS1932730,Illumina,ERS1932730,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129744,CYN-G12,AMPLICON,449,20885297,PRJEB22688,SAMEA104307753,11265967,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186954,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CYN-G12,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307753,ERS1932731,Illumina,ERS1932731,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129746,CYN-G1,AMPLICON,504,41861058,PRJEB22688,SAMEA104307754,24492818,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186955,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:04Z,public,Illumina MiSeq,metagenome,CYN-G1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307754,ERS1932732,Illumina,ERS1932732,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129747,CYN-G2,AMPLICON,476,36496435,PRJEB22688,SAMEA104307755,20300035,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186956,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-G2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307755,ERS1932733,Illumina,ERS1932733,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129749,CYN-G3,AMPLICON,518,67778239,PRJEB22688,SAMEA104307756,41475581,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186957,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-G3,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307756,ERS1932734,Illumina,ERS1932734,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129750,CYN-G4,AMPLICON,549,35775661,PRJEB22688,SAMEA104307757,21667042,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish intestine,ERX2186958,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-G4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307757,ERS1932735,Illumina,ERS1932735,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129768,CYN-S4,AMPLICON,422,1177310,PRJEB22688,SAMEA104307769,665592,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186970,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S4,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307769,ERS1932747,Illumina,ERS1932747,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129770,CYN-S5,AMPLICON,443,106077416,PRJEB22688,SAMEA104307770,54885446,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186971,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S5,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307770,ERS1932748,Illumina,ERS1932748,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129771,CYN-S6,AMPLICON,445,95174074,PRJEB22688,SAMEA104307771,48209660,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186972,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S6,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307771,ERS1932749,Illumina,ERS1932749,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129773,CYN-S7,AMPLICON,469,63030866,PRJEB22688,SAMEA104307772,33847947,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186973,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S7,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307772,ERS1932750,Illumina,ERS1932750,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129774,CYN-S8,AMPLICON,575,216267215,PRJEB22688,SAMEA104307773,129411855,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186974,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S8,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307773,ERS1932751,Illumina,ERS1932751,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129776,CYN-S9,AMPLICON,569,290677931,PRJEB22688,SAMEA104307774,168215290,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,Artificial tank,fish skin,ERX2186975,Cynrig population (hatchery),United Kingdom,Europe,United Kingdom,51.93,-3.36,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,CYN-S9,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307774,ERS1932752,Illumina,ERS1932752,ERP104390,Atlantic salmon fry microbiome,Skin,Skin,Atlantic salmon
ERR2129777,FRM-G10,AMPLICON,474,100335352,PRJEB22688,SAMEA104307775,55214078,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2186976,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-G10,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307775,ERS1932753,Illumina,ERS1932753,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129779,FRM-G11,AMPLICON,494,64828141,PRJEB22688,SAMEA104307776,38089736,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2186977,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-G11,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307776,ERS1932754,Illumina,ERS1932754,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129780,FRM-G12,AMPLICON,466,82777183,PRJEB22688,SAMEA104307777,43699216,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2186978,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-G12,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307777,ERS1932755,Illumina,ERS1932755,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129782,FRM-G1,AMPLICON,460,16519206,PRJEB22688,SAMEA104307778,8891694,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2186979,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-G1,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307778,ERS1932756,Illumina,ERS1932756,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
ERR2129783,FRM-G2,AMPLICON,463,41432973,PRJEB22688,SAMEA104307779,21633810,SWANSEA UNIVERSITY,2016,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000013,3/18/18,11/16/18,Freshwater,River,fish intestine,ERX2186980,Frome population (wild),United Kingdom,Europe,United Kingdom,50.68,-2.18,host-associated,SWANSEA UNIVERSITY,SWANSEA UNIVERSITY,2018-03-18T17:01:53Z,2017-09-19T13:58:05Z,public,Illumina MiSeq,metagenome,FRM-G2,PAIRED,PCR,METAGENOMIC,Salmo salar,ILLUMINA,Atlantic salmon fry microbiome,2018-03-19T00:00:00Z,SAMEA104307779,ERS1932757,Illumina,ERS1932757,ERP104390,Atlantic salmon fry microbiome,Intestine,Intestine,Atlantic salmon
